iter	Passed	Remaining
286	4615	3425
287	4629	3407
288	4641	3388
289	4653	3369
290	4667	3351
291	4679	3333
292	4693	3315
293	4706	3297
294	4719	3279
295	4733	3262
296	4745	3243
297	4757	3224
298	4770	3206
299	4783	3189
300	4798	3172
301	4814	3156
302	4830	3140
303	4843	3122
304	4855	3104
305	4869	3087
306	4883	3070
307	4896	3052
308	4910	3035
309	4924	3017
310	4936	2999
311	4950	2983
312	4965	2966
313	4980	2950
314	4997	2934
315	5012	2918
316	5027	2902
317	5041	2885
318	5057	2869
319	5074	2854
320	5091	2838
321	5107	2823
322	5122	2807
323	5139	2791
324	5156	2776
325	5170	2759
326	5184	2742
327	5199	2726
328	5214	2710
329	5228	2693
330	5241	2676
331	5255	2659
332	5269	2642
333	5282	2625
334	5296	2608
335	5309	2591
336	5321	2573
337	5334	2556
338	5350	2540
339	5365	2524
340	5380	2508
341	5396	2493
342	5412	2477
343	5425	2460
344	5438	2443
345	5451	2426
346	5471	2412
347	5493	2399
348	5507	2382
349	5522	2366
350	5538	2351
351	5554	2335
352	5569	2319
353	5582	2302
354	5595	2285
355	5607	2268
356	5622	2252
357	5637	2236
358	5651	2219
359	5667	2203
360	5680	2187
361	5694	2170
362	5708	2154
363	5722	2138
364	5736	2121
365	5751	2105
366	5766	2089
367	5780	2073
368	5793	2056
369	5807	2040
370	5820	2023
371	5834	2007
372	5847	1991
373	5861	1974
374	5874	1958
375	5889	1942
376	5901	1925
377	5914	1908
378	5926	1892
379	5940	1876
380	5955	1860
381	5970	1844
382	5985	1828
383	6000	1812
384	6014	1796
385	6029	1780
386	6043	1764
387	6059	1749
388	6073	1733
389	6087	1717
390	6101	1700
391	6117	1685
392	6130	1669
393	6144	1652
394	6158	1637
395	6171	1620
396	6184	1604
397	6199	1588
398	6212	1572
399	6227	1556
400	6241	1540
401	6258	1525
402	6274	1510
403	6288	1494
404	6306	1479
405	6324	1464
406	6340	1448
407	6357	1433
408	6371	1417
409	6387	1402
410	6402	1386
411	6419	1371
412	6436	1355
413	6452	1340
414	6467	1324
415	6481	1308
416	6496	1293
417	6511	1277
418	6526	1261
419	6541	1246
420	6556	1230
421	6569	1214
422	6581	1198
423	6595	1182
424	6608	1166
425	6623	1150
426	6635	1134
427	6649	1118
428	6662	1102
429	6675	1086
430	6689	1070
431	6702	1054
432	6715	1039
433	6728	1023
434	6742	1007
435	6755	991
436	6768	975
437	6781	959
438	6794	944
439	6809	928
440	6822	912
441	6835	897
442	6849	881
443	6861	865
444	6875	849
445	6887	833
446	6901	818
447	6914	802
448	6927	786
449	6941	771
450	6954	755
451	6969	740
452	6981	724
453	6994	708
454	7009	693
455	7025	677
456	7039	662
457	7054	646
458	7068	631
459	7082	615
460	7095	600
461	7107	584
462	7120	569
463	7133	553
464	7148	538
465	7162	522
466	7176	507
467	7191	491
468	7205	476
469	7220	460
470	7236	445
471	7252	430
472	7266	414
473	7279	399
474	7293	383
475	7308	368
476	7323	353
477	7336	337
478	7349	322
479	7362	306
480	7376	291
481	7389	275
482	7403	260
483	7418	245
484	7431	229
485	7444	214
486	7456	199
487	7470	183
488	7484	168
489	7497	153
490	7511	137
491	7526	122
492	7542	107
493	7557	91
494	7573	76
495	7589	61
496	7604	45
497	7620	30
498	7636	15
499	7653	0
